feature_time_wib,sym,dir,venue,hit,pnl,btc_ctx_time_wib,btc_regime,btc_confidence,btc_syn_score,btc_fng,btc_funding,btc_oi_usd,btc_etf_bias,btc_rsi,ctx_lag_s
2026-08-18 07:14:13,COMP,SHORT,futures,TIME_EXIT,7.93,,,,,,,,,,
2026-08-18 12:11:30,MORPHO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-18 20:15:32,PENDLE,SHORT,futures,TIME_EXIT,15.18,,,,,,,,,,
2026-08-19 07:15:29,POL,SHORT,futures,TIME_EXIT,0.91,,,,,,,,,,
2026-08-19 21:49:55,CAKE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-21 00:17:21,SCRT,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-21 04:49:59,FIL,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-21 04:50:05,NEAR,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-21 07:53:51,ETH,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-21 16:41:42,BTC,SHORT,futures,TIME_EXIT,8.72,,,,,,,,,,
2026-08-21 16:41:49,SKY,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-22 20:00:00,BTC,LONG,futures,TIME_EXIT,7.35,,,,,,,,,,
2026-08-22 23:10:02,AAVE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-22 23:12:18,BTC,LONG,futures,TIME_EXIT,1.37,,,,,,,,,,
2026-08-24 12:41:02,AAVE,SHORT,futures,TP1,25.02,,,,,,,,,,
2026-08-24 16:09:47,SEI,SHORT,futures,SL,-2.48,,,,,,,,,,
2026-08-24 16:09:55,DYDX,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-24 19:25:29,AAVE,LONG,futures,SL,-7.5,,,,,,,,,,
2026-08-24 20:36:33,SOL,LONG,futures,TP1,25.0,,,,,,,,,,
2026-08-24 22:54:44,ZEC,SHORT,futures,TP1,25.0,,,,,,,,,,
2026-08-25 09:29:48,PENGU,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-25 11:27:00,SOL,SHORT,futures,TP1,25.0,,,,,,,,,,
2026-08-25 21:06:32,HEMI,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-26 00:38:30,JASMY,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-26 14:12:57,BOME,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-26 14:14:26,DOT,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-27 07:06:37,GRAM,LONG,futures,TIME_EXIT,4.55,,,,,,,,,,
2026-08-27 07:07:00,ARB,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-27 17:34:30,WIF,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-27 17:34:59,PEOPLE,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-27 18:58:38,XPL,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-27 20:36:39,PAXG,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-28 16:15:03,UNI,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-28 16:16:12,TRX,SHORT,futures,TIME_EXIT,4.28,,,,,,,,,,
2026-08-29 10:09:11,ROBO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-29 14:40:37,XAUT,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-29 14:40:48,HUMA,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-29 14:41:11,APT,LONG,futures,TIME_EXIT,5.5,,,,,,,,,,
2026-08-31 14:47:24,BOME,LONG,futures,,,,,,,,,,,,
2026-08-31 14:47:42,PAXG,LONG,futures,,,,,,,,,,,,
2026-08-31 14:48:14,PEPE,LONG,futures,,,,,,,,,,,,
2026-08-31 14:48:43,ETC,LONG,futures,,,,,,,,,,,,
2026-08-31 14:48:57,OP,LONG,futures,,,,,,,,,,,,
2026-08-31 14:49:13,FLOKI,LONG,futures,,,,,,,,,,,,
2026-08-31 17:34:36,CFG,LONG,futures,,,,,,,,,,,,
2026-08-31 17:34:51,TIA,LONG,futures,,,,,,,,,,,,
2026-08-31 17:35:42,XAUT,LONG,futures,,,,,,,,,,,,
